Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801900, delta t=8.960419, sog_mes=8.900000, toa=1328.579193, id=3, nb_error= 3, nb_r=81, perc.=0.037037 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227006680, delta t=20.906769, sog_mes=0.000000, toa=1362.606079, id=1, nb_error= 3, nb_r=29, perc.=0.103448 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801800, delta t=11.018585, sog_mes=11.100000, toa=1372.378784, id=3, nb_error= 3, nb_r=87, perc.=0.034483 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227801800, delta t=9.183716, sog_mes=11.200000, toa=1381.562500, id=1, nb_error= 4, nb_r=88, perc.=0.045455 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=227612860, delta t=10.319794, sog_mes=1.100000, toa=1384.179108, id=1, nb_error= 1, nb_r=90 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=8.683228, sog_mes=0.000000, toa=1390.042847, id=3, nb_error= 11, nb_r=72, perc.=0.152778 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=2, mmsi=227612860, delta t=8.822083, sog_mes=0.400000, toa=1393.001190, id=1, nb_error= 2, nb_r=85 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=227612860, delta t=10.000488, sog_mes=0.300000, toa=1403.001678, id=1, nb_error= 3, nb_r=86 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=2, mmsi=227612860, delta t=9.496979, sog_mes=0.100000, toa=1412.498657, id=1, nb_error= 4, nb_r=87 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=2, mmsi=227612860, delta t=5.226654, sog_mes=0.100000, toa=1417.725311, id=3, nb_error= 5, nb_r=88 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=227612860, delta t=6.317352, sog_mes=0.000000, toa=1424.042664, id=1, nb_error= 6, nb_r=89 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228381900, delta t=10.884064, sog_mes=0.600000, toa=1424.282379, id=3, nb_error= 1, nb_r=6 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=2, mmsi=227612860, delta t=9.816345, sog_mes=0.100000, toa=1433.859009, id=1, nb_error= 7, nb_r=90 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806300, delta t=10.879608, sog_mes=9.900000, toa=1440.320068, id=1, nb_error= 3, nb_r=87, perc.=0.034483 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228381900, delta t=9.217834, sog_mes=0.600000, toa=1443.378967, id=3, nb_error= 2, nb_r=7 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228381900, delta t=9.300385, sog_mes=0.500000, toa=1452.679352, id=1, nb_error= 3, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806400, delta t=11.656860, sog_mes=9.600000, toa=1484.079346, id=1, nb_error= 2, nb_r=84, perc.=0.023810 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228394000, delta t=11.441650, sog_mes=0.000000, toa=1551.300842, id=3, nb_error= 4, nb_r=84, perc.=0.047619 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=228768000, delta t=174.339447, sog_mes=2.900000, toa=1558.259369, id=3, nb_error= 1, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=2, mmsi=228768000, delta t=8.158417, sog_mes=2.400000, toa=1567.999603, id=3, nb_error= 2, nb_r=6 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228381900, delta t=7.422150, sog_mes=0.100000, toa=1580.103943, id=3, nb_error= 4, nb_r=20 
