Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006650, delta t=20.701599, sog_mes=0.000000, toa=939.042145, id=1, nb_error= 2, nb_r=86, perc.=0.023256 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.320892, sog_mes=0.000000, toa=942.220032, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=30.079987, sog_mes=0.100000, toa=961.598145, id=1, nb_error= 13, nb_r=72, perc.=0.180556 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=29.317291, sog_mes=0.000000, toa=961.761902, id=1, nb_error= 8, nb_r=80, perc.=0.100000 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.661133, sog_mes=0.000000, toa=962.321564, id=1, nb_error= 8, nb_r=76, perc.=0.105263 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=20.060425, sog_mes=0.000000, toa=991.899841, id=1, nb_error= 9, nb_r=78, perc.=0.115385 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.939880, sog_mes=0.000000, toa=1001.838684, id=1, nb_error= 27, nb_r=59, perc.=0.457627 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=310705000, delta t=20.319977, sog_mes=0.000000, toa=1017.579498, id=1, nb_error= 3, nb_r=87, perc.=0.034483 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=20.222412, sog_mes=0.000000, toa=1021.761230, id=1, nb_error= 8, nb_r=80, perc.=0.100000 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.661224, sog_mes=0.000000, toa=1022.321075, id=1, nb_error= 10, nb_r=80, perc.=0.125000 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.441589, sog_mes=0.000000, toa=1032.622101, id=1, nb_error= 26, nb_r=57, perc.=0.456140 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227801900, delta t=19.041290, sog_mes=9.300000, toa=1038.660126, id=1, nb_error= 1, nb_r=85, perc.=0.011765 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=20.180756, sog_mes=0.100000, toa=1041.778717, id=1, nb_error= 14, nb_r=69, perc.=0.202899 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=20.060547, sog_mes=0.200000, toa=1051.899933, id=1, nb_error= 11, nb_r=76, perc.=0.144737 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.942474, sog_mes=0.000000, toa=1061.840759, id=1, nb_error= 27, nb_r=59, perc.=0.457627 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=20.738190, sog_mes=0.200000, toa=1092.318207, id=1, nb_error= 14, nb_r=67, perc.=0.208955 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=20.478699, sog_mes=0.000000, toa=1092.618835, id=1, nb_error= 26, nb_r=57, perc.=0.456140 
