Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=421 , toa=1038.421875, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=80, perc.=0.287500
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=745 , toa=1047.058716, slot_increment = 0, keep_flag = 0, nb_error= 3, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=772 , toa=1047.784515, slot_increment = -1, keep_flag = -1, nb_error= 24, nb_r=81, perc.=0.296296
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1238 , toa=1060.218628, slot_increment = 0, keep_flag = 0, nb_error= 3, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1316 , toa=1062.302643, slot_increment = 0, keep_flag = 0, nb_error= 3, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1520 , toa=1067.724152, slot_increment = -1, keep_flag = -1, nb_error= 25, nb_r=83, perc.=0.301205
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1672 , toa=1071.779755, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=78, perc.=0.012821
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1198 , toa=1119.142090, slot_increment = -1, keep_flag = -1, nb_error= 25, nb_r=81, perc.=0.308642
Alert3 : TS was not reserved by the ship mmsi=228394000, mes id = 3, TS=1619 , toa=1130.379791, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=88, perc.=0.011364
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2196 , toa=1145.758575, slot_increment = 0, keep_flag = 0, nb_error= 4, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=775 , toa=1167.861023, slot_increment = -1, keep_flag = -1, nb_error= 24, nb_r=79, perc.=0.303797
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=2025 , toa=1201.198456, slot_increment = -1, keep_flag = -1, nb_error= 4, nb_r=77, perc.=0.051948
